No,City,State,Type,Population,Population class
414,Palacole,Andhra Pradesh,Urban Agglomeration,pop,
415,Keshod,Gujarat,Municipality,pop,Class II
416,Sullurpeta,Andhra Pradesh,Municipality,pop,
417,Wadhwan,Gujarat,Municipality,pop,Class II
418,Gurdaspur,Punjab,Municipal Council,pop,Class II
419,Vatakara,Kerala,Municipality,pop,Class II
420,Tura,Meghalaya,Municipality,pop,Class II
421,Narnaul,Haryana,Municipal Council,pop,Class II
422,Kharar,Punjab,Municipal Council,pop,Class II
423,Yadgir,Karnataka,City Municipal Council,pop,Class II
424,Ambejogai,Maharashtra,Municipal Council,pop,Class II
425,Ankleshwar,Gujarat,Municipality,pop,Class II
426,Savarkundla,Gujarat,Municipality,pop,
427,Paradip,Odisha,Notified area committee / Notified Area Council,pop,
428,Virudhachalam,Tamil Nadu,Municipality,pop,Class II
429,Kanhangad,Kerala,Municipality,pop,Class II
430,Kadi,Gujarat,Municipality,pop,Class II
431,Srivilliputhur,Tamil Nadu,Municipality,pop,
432,Gobindgarh,Punjab,Municipal Council,pop,Class II
433,Tindivanam,Tamil Nadu,Municipality,pop,Class II
434,Mansa,Punjab,Municipal Council,pop,
435,Taliparamba,Kerala,Municipality,pop,Class II
436,Manmad,Maharashtra,Municipal Council,pop,
437,Tanuku,Andhra Pradesh,Municipality,pop,Class II
438,Rayachoti,Andhra Pradesh,Census town,pop,
439,Virudhunagar,Tamil Nadu,Municipality,pop,Class II
440,Koyilandy,Kerala,Municipality,pop,Class II
441,Jorhat,Assam,Municipal board,pop,Class II
442,Karur,Tamil Nadu,Municipality,pop,Class II
443,Valparai,Tamil Nadu,Municipality,pop,Class II
444,Srikalahasti,Andhra Pradesh,Municipality,pop,
445,Neyyattinkara,Kerala,Municipality,pop,Class II
446,Bapatla,Andhra Pradesh,Municipality,pop,Class II
447,Fatehabad,Haryana,Municipal Council,pop,Class II
448,Malout,Punjab,Municipal Council,pop,
449,Sankarankovil,Tamil Nadu,Municipality,pop,Class II
450,Tenkasi,Tamil Nadu,Municipality,pop,Class II
